seed,split,power_w,modality,window,lower_s,upper_s,lower_closed,upper_closed,sample_count,rmse_c,mae_c,signed_bias_c,p95_abs_error_c,max_abs_error_c,delta_rmse_c,delta_mae_c,delta_signed_bias_c,empty_reason
3,validation,403.0,Top,time_30_100_s,30.0,100.0,false,true,1414,1.312071862612855,1.00668688563298,-0.8633108482187177,2.7207229614257793,5.164337158203125,4.815676752273208,4.736453459048883,-4.736453459048883,
3,validation,403.0,Top,time_100_200_s,100.0,200.0,false,true,404,1.064045139827398,0.7716506436041017,-0.7295240530068465,2.2968673706054683,4.863800048828125,4.658943462332866,4.603498590602154,-4.603498590602154,
3,validation,630.5,Top,time_0_30_s,0.0,30.0,true,true,606,10.721435481448163,9.741270535021576,9.697510669097621,16.138031005859375,19.92755126953125,5.924904504889486,4.5590794584081396,-4.321418608077471,
3,validation,630.5,Top,time_30_100_s,30.0,100.0,false,true,1414,2.648076034599996,2.040883648527945,0.4806170854220145,5.449584960937499,8.3017578125,13.908382542894103,13.769740335305363,-13.769740335305363,
3,validation,630.5,Top,time_100_200_s,100.0,200.0,false,true,909,2.610157212860165,1.3899225281125822,-1.1056754820383325,6.539099121093749,12.06121826171875,15.489700508752078,15.4170896430416,-15.4170896430416,
3,validation,115.2,Hot,time_0_30_s,0.0,30.0,true,true,30,1.9101693349908848,1.8889322916666664,-1.8889322916666664,2.2938262939453122,2.320587158203125,0.5247608141867661,0.44123942057291665,-0.44123942057291665,
3,validation,115.2,Hot,time_30_100_s,30.0,100.0,false,true,70,3.243335366576999,3.1761749267578123,-3.1761749267578123,4.371955871582031,4.54400634765625,1.8489963092112507,1.7284820556640625,-1.7284820556640625,
3,validation,115.2,Hot,time_100_200_s,100.0,200.0,false,true,0,,,,,,,,,no_observations_in_preregistered_window
3,validation,403.0,Hot,time_0_30_s,0.0,30.0,true,true,30,0.9437513998989118,0.919049072265625,-0.919049072265625,1.2117660522460938,1.4024658203125,0.5288735764538304,0.48341674804687496,0.48341674804687496,
3,validation,403.0,Hot,time_30_100_s,30.0,100.0,false,true,70,0.934498077057519,0.9306658063616071,-0.9306658063616071,1.0933074951171875,1.102996826171875,0.47931520532689426,0.47180001395089277,0.47180001395089277,
3,validation,403.0,Hot,time_100_200_s,100.0,200.0,false,true,26,0.58121085435559,0.5532707801231972,-0.5532707801231972,0.780181884765625,0.800079345703125,0.8676576037612621,0.8491950401893029,0.8491950401893029,
3,validation,630.5,Hot,time_0_30_s,0.0,30.0,true,true,30,1.2990122422602117,1.2441721598307292,-1.2441721598307292,1.7632415771484375,1.775726318359375,0.4458918487509288,0.35416158040364576,0.24362080891927088,
3,validation,630.5,Hot,time_30_100_s,30.0,100.0,false,true,70,1.9651440708684924,1.9512599400111605,-1.9512599400111605,2.434159851074219,2.52001953125,0.5188231868635265,0.46346697126116077,-0.46346697126116077,
3,validation,630.5,Hot,time_100_200_s,100.0,200.0,false,true,50,2.2381694546253796,2.1747290039062497,-2.1747290039062497,2.6573760986328123,2.65985107421875,0.8670855687780694,0.7758056640625001,-0.68693603515625,
3,validation,115.2,Cold,time_0_30_s,0.0,30.0,true,true,30,1.5634003976981763,1.5446584065755204,-1.5446584065755204,1.9556976318359376,1.960968017578125,0.38873011246194206,0.30472920735677084,-0.30472920735677084,
3,validation,115.2,Cold,time_30_100_s,30.0,100.0,false,true,70,2.562150787258495,2.52866472516741,-2.52866472516741,3.019880676269531,3.0623779296875,1.3532592583040102,1.2887355259486606,-1.2887355259486606,
3,validation,115.2,Cold,time_100_200_s,100.0,200.0,false,true,0,,,,,,,,,no_observations_in_preregistered_window
3,validation,403.0,Cold,time_0_30_s,0.0,30.0,true,true,30,0.7967749572774583,0.7011179606119792,-0.6837636311848959,1.1299057006835938,1.14276123046875,0.48188365189883614,0.3343129475911458,0.25474344889322914,
3,validation,403.0,Cold,time_30_100_s,30.0,100.0,false,true,70,0.9396066189885357,0.9072387695312502,-0.9072387695312502,1.2729385375976563,1.28460693359375,0.24648756713259729,0.21790597098214282,0.031268310546875,
3,validation,403.0,Cold,time_100_200_s,100.0,200.0,false,true,26,0.42446478011941613,0.42163790189302885,-0.42163790189302885,0.49065399169921875,0.505035400390625,0.5191777890152905,0.5168691781850961,0.5168691781850961,
3,validation,630.5,Cold,time_0_30_s,0.0,30.0,true,true,30,0.8516872145892526,0.7195088704427084,-0.705963134765625,1.4448196411132812,1.479522705078125,0.5399092957530754,0.4568155924479166,0.253997802734375,
3,validation,630.5,Cold,time_30_100_s,30.0,100.0,false,true,70,1.3044041743968708,1.2922720772879464,-1.2922720772879464,1.5713485717773437,1.579986572265625,0.37674105440347533,0.33231113978794646,-0.33231113978794646,
3,validation,630.5,Cold,time_100_200_s,100.0,200.0,false,true,50,1.3042185087859002,1.3005499267578124,-1.3005499267578124,1.407177734375,1.41094970703125,0.3543397610678538,0.3405889892578125,-0.3405889892578125,
4,validation,115.2,Top,time_0_30_s,0.0,30.0,true,true,606,2.481478248423162,2.2359157851820335,-2.2260783481912645,4.120277404785156,4.19598388671875,1.4291669069464763,1.2340811046436675,1.2340811046436675,
4,validation,115.2,Top,time_30_100_s,30.0,100.0,false,true,1313,2.9463126988419033,2.402636723398527,-1.6030255540672005,5.71712036132812,6.781097412109375,2.620201778556862,2.2206508755593104,1.8571338987677315,
4,validation,115.2,Top,time_100_200_s,100.0,200.0,false,true,0,,,,,,,,,no_observations_in_preregistered_window
4,validation,403.0,Top,time_0_30_s,0.0,30.0,true,true,606,2.947380576485535,2.343910494259875,2.0627944493057706,5.3342437744140625,5.681121826171875,3.1099742438902984,2.480689473671488,-2.4798228953144337,
4,validation,403.0,Top,time_30_100_s,30.0,100.0,false,true,1414,1.398843235146777,0.9998333823178477,-0.5147145589175601,2.4411743164062467,6.71588134765625,5.277645322313706,5.0626175716772845,-5.054619591494293,
4,validation,403.0,Top,time_100_200_s,100.0,200.0,false,true,404,1.2363919823073586,0.8648638759931985,-0.27337046486762273,2.1064483642578122,6.162506103515625,5.058651384764117,4.80607180901626,-4.80607180901626,
4,validation,630.5,Top,time_0_30_s,0.0,30.0,true,true,606,11.097572537877175,9.999268294190898,9.955324048174802,16.4432373046875,19.39715576171875,5.418835112913483,3.9039542263954035,-3.6312415662837454,
4,validation,630.5,Top,time_30_100_s,30.0,100.0,false,true,1414,3.4262928157746995,2.6427530244768773,0.5208139325815831,6.208413696289061,13.06744384765625,13.433573830932916,13.181452732805095,-13.181452732805095,
4,validation,630.5,Top,time_100_200_s,100.0,200.0,false,true,909,3.438914486012098,1.8013659526884804,-1.2199978555845798,8.318920898437476,16.98638916015625,15.13281393581504,14.968970053966837,-14.968970053966837,
4,validation,115.2,Hot,time_0_30_s,0.0,30.0,true,true,30,1.1404170587203786,1.101551310221354,-1.101551310221354,1.6088790893554685,1.660400390625,0.4948818779050623,0.3972056070963541,-0.3972056070963541,
4,validation,115.2,Hot,time_30_100_s,30.0,100.0,false,true,70,2.4045978777121997,2.391379220145089,-2.391379220145089,2.6194686889648438,2.63006591796875,1.7057193398989912,1.6870335170200892,-1.6870335170200892,
4,validation,115.2,Hot,time_100_200_s,100.0,200.0,false,true,0,,,,,,,,,no_observations_in_preregistered_window
4,validation,403.0,Hot,time_0_30_s,0.0,30.0,true,true,30,0.5655803853493635,0.4957682291666667,-0.4957682291666667,0.8583602905273438,0.918914794921875,0.5031382030330324,0.42314656575520837,0.42314656575520837,
4,validation,403.0,Hot,time_30_100_s,30.0,100.0,false,true,70,0.36334484844874027,0.28514971051897325,-0.2651763916015625,0.6315505981445313,0.64532470703125,0.6993388736565445,0.6537384033203125,0.6537384033203125,
4,validation,403.0,Hot,time_100_200_s,100.0,200.0,false,true,26,0.20904132931135458,0.19616816594050485,0.19616816594050485,0.3327789306640625,0.35400390625,1.1174194993991329,1.11508296086238,1.11508296086238,
4,validation,630.5,Hot,time_0_30_s,0.0,30.0,true,true,30,1.1223156661322424,1.1048421223958333,-1.1048421223958333,1.389453125,1.454864501953125,0.3362692979766502,0.27899373372395836,0.2723246256510417,
4,validation,630.5,Hot,time_30_100_s,30.0,100.0,false,true,70,1.78581666292971,1.6640119280133925,-1.6640119280133925,2.496136474609375,2.512725830078125,0.7088621969724306,0.6237025669642856,-0.2868451799665178,
4,validation,630.5,Hot,time_100_200_s,100.0,200.0,false,true,50,1.8787266553829434,1.8660021972656249,-1.8660021972656249,2.1213470458984376,2.127349853515625,0.5353594510785609,0.490184326171875,-0.48883544921875,
4,validation,115.2,Cold,time_0_30_s,0.0,30.0,true,true,30,0.8024193451861679,0.7775105794270832,-0.7775105794270832,1.1410003662109374,1.16851806640625,0.38255664918688076,0.3271016438802083,-0.3271016438802083,
4,validation,115.2,Cold,time_30_100_s,30.0,100.0,false,true,70,1.3950958875295565,1.3885820661272321,-1.3885820661272321,1.7083984374999999,1.83770751953125,0.9477875310293208,0.9381731305803573,-0.9381731305803573,
4,validation,115.2,Cold,time_100_200_s,100.0,200.0,false,true,0,,,,,,,,,no_observations_in_preregistered_window
4,validation,403.0,Cold,time_0_30_s,0.0,30.0,true,true,30,0.6316568679280085,0.5683583577473957,-0.5683583577473957,0.9860656738281249,1.048797607421875,0.5538781893224188,0.4804392496744792,0.4804392496744792,
4,validation,403.0,Cold,time_30_100_s,30.0,100.0,false,true,70,0.8236781059967142,0.6968497140066964,-0.6968497140066964,1.28651123046875,1.299468994140625,0.5627729720469007,0.4569335937499999,0.3519478934151785,
4,validation,403.0,Cold,time_100_200_s,100.0,200.0,false,true,26,0.3920993844424681,0.35341585599459135,-0.3456315260667068,0.5153274536132812,0.51885986328125,0.7271336283224321,0.7031660813551683,0.7031660813551683,
4,validation,630.5,Cold,time_0_30_s,0.0,30.0,true,true,30,1.386510434331309,1.3327636718749998,-1.3327636718749998,1.87637939453125,1.9552001953125,0.7304651977670285,0.6224365234375,0.6224365234375,
4,validation,630.5,Cold,time_30_100_s,30.0,100.0,false,true,70,2.0098464314024267,1.9892033168247765,-1.9892033168247765,2.3817520141601562,2.39752197265625,0.2893251707455736,0.25847385951450885,-0.03400312151227679,
4,validation,630.5,Cold,time_100_200_s,100.0,200.0,false,true,50,1.969346111740076,1.89742919921875,-1.89742919921875,2.494978332519531,2.498504638671875,0.5304941373545171,0.47307128906249996,0.05777099609375,
