运行臂,功率_瓦,模态,指标,时间窗,RMSE_摄氏度,MAE_摄氏度,偏差_摄氏度,最大绝对误差_摄氏度,观测点数,数据状态
旧LF同源,115.2,冷端,真实首时刻温升,"(30,100]秒",1.1841509360994067,1.1585619245256698,-1.1585619245256698,1.463348388671875,70,实际观测
旧LF同源,115.2,冷端,真实首时刻温升,"(100,200]秒",,,,,0,无数据
旧LF同源,403.0,顶部,绝对温度,全部合法观测,2.485139225575037,1.840130497803207,0.7798911923442788,11.216522216796875,,实际观测
旧LF同源,403.0,顶部,绝对温度,"[0,30]秒",3.7877350073983633,3.4013137061997214,3.014241838612572,11.216461181640625,,实际观测
旧LF同源,403.0,顶部,绝对温度,"(30,100]秒",1.7812448043363953,1.2774534593801325,-0.07417663177880694,8.4718017578125,,实际观测
旧LF同源,403.0,顶部,绝对温度,"(100,200]秒",2.1048814722441107,1.4677902101853169,0.41784805100596145,9.3172607421875,,实际观测
旧LF同源,403.0,热端,绝对温度,全部合法观测,1.0598763613833064,1.0384163023933533,1.0384163023933533,1.4730224609375,126,实际观测
旧LF同源,403.0,热端,绝对温度,"[0,30]秒",1.2423860584292192,1.238971964518229,1.238971964518229,1.410919189453125,30,实际观测
旧LF同源,403.0,热端,绝对温度,"(30,100]秒",0.9640598535294387,0.9441053118024554,0.9441053118024554,1.355377197265625,70,实际观测
旧LF同源,403.0,热端,绝对温度,"(100,200]秒",1.0773201072448575,1.0609201284555287,1.0609201284555287,1.4730224609375,26,实际观测
旧LF同源,403.0,热端,真实首时刻温升,全部合法观测,0.22473769566804533,0.20222109840029762,-0.07401045541914683,0.360595703125,126,实际观测
旧LF同源,403.0,热端,真实首时刻温升,"[0,30]秒",0.15647772575458493,0.13128560384114582,0.12654520670572916,0.298492431640625,30,实际观测
旧LF同源,403.0,热端,真实首时刻温升,"(30,100]秒",0.2576987982131536,0.24371381487165178,-0.16832144601004465,0.327301025390625,70,实际观测
旧LF同源,403.0,热端,真实首时刻温升,"(100,200]秒",0.19421644466854912,0.17235858623798078,-0.05150662935697115,0.360595703125,26,实际观测
旧LF同源,403.0,冷端,绝对温度,全部合法观测,0.5456136974682543,0.476318843781002,0.476318843781002,0.99725341796875,126,实际观测
旧LF同源,403.0,冷端,绝对温度,"[0,30]秒",0.7110591851098322,0.6709574381510417,0.6709574381510417,0.99725341796875,30,实际观测
旧LF同源,403.0,冷端,绝对温度,"(30,100]秒",0.3119086888371902,0.2858511788504464,0.2858511788504464,0.56671142578125,70,实际观测
旧LF同源,403.0,冷端,绝对温度,"(100,200]秒",0.7728875829059743,0.7645334097055289,0.7645334097055289,0.94635009765625,26,实际观测
旧LF同源,403.0,冷端,真实首时刻温升,全部合法观测,0.31790336854475315,0.2794305710565476,-0.17391919332837302,0.537078857421875,126,实际观测
旧LF同源,403.0,冷端,真实首时刻温升,"[0,30]秒",0.23632726143713353,0.20981038411458333,0.020719401041666665,0.370513916015625,30,实际观测
旧LF同源,403.0,冷端,真实首时刻温升,"(30,100]秒",0.3851673872406096,0.3643868582589286,-0.3643868582589286,0.537078857421875,70,实际观测
旧LF同源,403.0,冷端,真实首时刻温升,"(100,200]秒",0.1609574895777482,0.13103309044471154,0.11429537259615384,0.296112060546875,26,实际观测
旧LF同源,630.5,顶部,绝对温度,全部合法观测,7.235381849032456,5.411405252842307,2.244695381130894,30.47113037109375,,实际观测
旧LF同源,630.5,顶部,绝对温度,"[0,30]秒",11.716226180261291,10.921497685961223,10.224695948027946,20.8681640625,,实际观测
旧LF同源,630.5,顶部,绝对温度,"(30,100]秒",4.5191617177890855,3.6375923893297872,1.7296097162120636,15.66387939453125,,实际观测
旧LF同源,630.5,顶部,绝对温度,"(100,200]秒",6.738227466358211,4.497283197778303,-2.2740503671848855,30.4710693359375,,实际观测
旧LF同源,630.5,热端,绝对温度,全部合法观测,1.0782233371467007,0.8294508870442708,0.13439961751302085,4.312255859375,150,实际观测
旧LF同源,630.5,热端,绝对温度,"[0,30]秒",0.7241604426036227,0.6763071695963542,0.6763071695963542,1.195220947265625,30,实际观测
旧LF同源,630.5,热端,绝对温度,"(30,100]秒",0.6331536713238488,0.5518162318638393,-0.06712908063616072,1.061553955078125,70,实际观测
旧LF同源,630.5,热端,绝对温度,"(100,200]秒",1.6161109758333316,1.310025634765625,0.091395263671875,4.312255859375,50,实际观测
旧LF同源,630.5,热端,真实首时刻温升,全部合法观测,1.2530816768140873,0.9943817138671875,-0.6524656168619791,3.525390625,150,实际观测
旧LF同源,630.5,热端,真实首时刻温升,"[0,30]秒",0.2814960828715777,0.22620137532552084,-0.11055806477864584,0.560760498046875,30,实际观测
旧LF同源,630.5,热端,真实首时刻温升,"(30,100]秒",1.0609823505201177,0.8930245535714286,-0.8539943150111607,1.848419189453125,70,实际观测
旧LF同源,630.5,热端,真实首时刻温升,"(100,200]秒",1.7570259167516902,1.59718994140625,-0.695469970703125,3.525390625,50,实际观测
旧LF同源,630.5,冷端,绝对温度,全部合法观测,0.5684420550401371,0.484019775390625,-0.06614664713541667,1.075469970703125,150,实际观测
旧LF同源,630.5,冷端,绝对温度,"[0,30]秒",0.7679762529289299,0.7079569498697916,0.7079569498697916,1.075469970703125,30,实际观测
旧LF同源,630.5,冷端,绝对温度,"(30,100]秒",0.3047734299205596,0.266839599609375,0.017374965122767858,0.64727783203125,70,实际观测
