运行臂,功率_瓦,材料,时间窗,权重口径,RMSE_摄氏度,MAE_摄氏度,偏差_摄氏度,最大绝对误差_摄氏度,验证点数,完整场推理秒
原始LF_B0,170.0,SiC,"[0,30]秒",节点等权,3.0895198032641558,2.563565677439673,-2.420121142144739,10.84796142578125,5408,0.009506693997536786
原始LF_B0,170.0,SiC,"[0,30]秒",轴对称有限元集总真实体积,2.4672887072093324,2.0131328707993412,-1.8612817966502588,10.84796142578125,5408,0.009506693997536786
原始LF_B0,170.0,SiC,"(30,100]秒",节点等权,4.575439226534312,4.306140794536368,-4.306127844558161,10.73406982421875,11830,0.009506693997536786
原始LF_B0,170.0,SiC,"(30,100]秒",轴对称有限元集总真实体积,3.9100353694643206,3.6743960141628245,-3.674378912397588,10.73406982421875,11830,0.009506693997536786
原始LF_B0,170.0,SiC,"(100,200]秒",节点等权,4.484447009440584,4.011574268228204,-4.010705051760702,11.47015380859375,16900,0.009506693997536786
原始LF_B0,170.0,SiC,"(100,200]秒",轴对称有限元集总真实体积,3.4942019929100945,3.128287701162892,-3.127421394576031,11.47015380859375,16900,0.009506693997536786
原始LF_B0,250.0,Cu,全时段,节点等权,1.9295362378650047,1.5108043941019775,0.14396628745104997,6.92596435546875,82921,0.009746291994815692
原始LF_B0,250.0,Cu,全时段,轴对称有限元集总真实体积,1.4580161635992799,1.1666264266590944,0.7511357833007111,6.92596435546875,82921,0.009746291994815692
原始LF_B0,250.0,Cu,"[0,30]秒",节点等权,1.7257582193910677,1.4802555962398776,0.8236197496012271,5.806915283203125,13136,0.009746291994815692
原始LF_B0,250.0,Cu,"[0,30]秒",轴对称有限元集总真实体积,1.5879066842223113,1.3969985484682927,1.1877130772698483,5.806915283203125,13136,0.009746291994815692
原始LF_B0,250.0,Cu,"(30,100]秒",节点等权,2.011960728898424,1.5745538741085703,0.05568179742385973,6.5853271484375,28735,0.009746291994815692
