种子,模型状态原标识,划分原标识,功率_瓦,模态原标识,实测点数,实际时刻数,绝对RMSE_摄氏度,绝对MAE_摄氏度,有符号偏差_摄氏度,绝对误差经验p95_摄氏度,最大绝对误差_摄氏度,首实测差分RMSE_摄氏度,首实测差分MAE_摄氏度,首实测差分有符号偏差_摄氏度,首实测差分绝对误差经验p95_摄氏度,首实测差分最大绝对误差_摄氏度,有符号峰值误差_摄氏度,空窗原因,模态中文名称,模型状态中文名称
2,final,validation,115.2,Cold,100,100,1.844223753816624,1.6427325439453124,-1.6427325439453124,2.94193115234375,3.05517578125,1.5867793355061814,1.3473223876953127,-1.3473223876953127,2.64652099609375,2.759765625,-1.928375244140625,,冷环,训练末
2,final,validation,403.0,Cold,126,126,0.6750883139758228,0.6306292821490574,-0.36103796580481146,0.8984298706054688,0.90850830078125,1.0344802761400147,0.8963637579055058,-0.8629910908048113,1.4003829956054688,1.41046142578125,-0.766265869140625,,冷环,训练末
2,final,validation,630.5,Cold,150,150,0.984304595421391,0.8926383463541667,-0.7136100260416668,1.6430953979492187,1.67034912109375,0.972642193396491,0.8818554687500002,-0.6974357096354168,1.6269210815429687,1.6541748046875,-0.70330810546875,,冷环,训练末
3,best,validation,115.2,Top,1919,19,2.323367166583421,1.9823980525236937,-1.4107051211263189,4.135501098632812,4.65826416015625,2.8432559923380567,2.3872892490086794,2.331194123729807,5.4493408203125,6.39276123046875,-4.31512451171875,,顶部,观测最佳
3,best,validation,403.0,Top,2424,24,2.4761822575765002,1.8910510545658943,1.0966905298348424,5.522172546386716,8.0699462890625,4.441554978514124,3.8348517075796993,-3.7376143900842558,7.350344848632813,8.172821044921875,1.01458740234375,,顶部,观测最佳
3,best,validation,630.5,Top,2929,29,6.888198813130784,5.226703307189586,3.0530844443113674,14.879791259765625,28.10882568359375,10.894618566707228,9.288296564964764,-7.806947203377433,15.985064697265623,23.134735107421875,0.5380859375,,顶部,观测最佳
3,best,validation,115.2,Hot,100,100,2.257526797036513,2.151724548339844,-2.151724548339844,3.1255783081054687,3.2093505859375,1.6535375476570513,1.505881042480469,-1.505881042480469,2.4797348022460937,2.563507080078125,-2.716400146484375,,热环,观测最佳
3,best,validation,403.0,Hot,126,126,0.32314265132306474,0.2835271926153274,0.2835271926153274,0.5779342651367188,0.72412109375,0.19250407295891048,0.1485169425843254,0.11412411644345236,0.40853118896484375,0.554718017578125,0.72412109375,,热环,观测最佳
3,best,validation,630.5,Hot,150,150,0.9988096120002863,0.8375225830078126,-0.23564473470052083,1.7111984252929686,2.26300048828125,1.2071396201006257,0.9780344645182291,-0.717700398763021,2.1772918701171875,2.205535888671875,2.26300048828125,,热环,观测最佳
3,best,validation,115.2,Cold,100,100,1.4757703357181118,1.3471829223632814,-1.3471829223632814,2.189276123046875,2.278533935546875,1.1971575203928249,1.0344998168945312,-1.0344998168945312,1.876593017578125,1.965850830078125,-1.689849853515625,,冷环,观测最佳
3,best,validation,403.0,Cold,126,126,0.24496901548215558,0.19971502394903276,-0.10912577311197914,0.42508697509765625,0.43572998046875,0.27256231123861047,0.22787742009238585,-0.16182963053385416,0.47779083251953125,0.488433837890625,-0.020904541015625,,冷环,观测最佳
3,best,validation,630.5,Cold,150,150,0.6133810852879357,0.5818815104166667,-0.5818815104166667,0.7515823364257812,0.77362060546875,0.22353735981426315,0.14931233723958331,0.11098958333333334,0.5441192626953124,0.62237548828125,-0.530181884765625,,冷环,观测最佳
3,final,validation,115.2,Top,1919,19,3.427146417984421,2.9541944510741676,-2.6595430518265126,5.7620361328125,6.279876708984375,2.5814459410810286,2.20995427420389,2.186975285309935,4.8118347167968745,6.079254150390625,-6.130401611328125,,顶部,训练末
3,final,validation,403.0,Top,2424,24,2.412226519058391,1.7552583506231696,-0.5795740340569925,5.784188842773435,9.363006591796875,6.257379188292228,5.907637690216123,-5.907637690216123,8.574475097656249,9.233123779296875,-1.1265869140625,,顶部,训练末
3,final,validation,630.5,Top,2929,29,6.94354515024581,4.862464192980918,1.5384696171365881,14.974829101562495,30.4664306640625,13.813645748413249,12.068863521209732,-11.723899249287733,20.201501464843744,28.146331787109375,0.09698486328125,,顶部,训练末
3,final,validation,115.2,Hot,100,100,2.4161926252224526,2.3330865478515626,-2.3330865478515626,3.0339752197265626,3.07220458984375,1.7622891493838109,1.6465020751953128,-1.6465020751953128,2.3473907470703126,2.3856201171875,-2.95196533203125,,热环,训练末
