种子,模型状态原标识,划分原标识,功率_瓦,模态原标识,时间窗原标识,下界_秒,上界_秒,下界闭端点,上界闭端点,实测点数,绝对RMSE_摄氏度,绝对MAE_摄氏度,有符号偏差_摄氏度,绝对误差经验p95_摄氏度,最大绝对误差_摄氏度,首实测差分RMSE_摄氏度,首实测差分MAE_摄氏度,首实测差分有符号偏差_摄氏度,首实测差分绝对误差经验p95_摄氏度,首实测差分最大绝对误差_摄氏度,有符号峰值误差_摄氏度,空窗原因,模态中文名称,模型状态中文名称,时间窗中文名称
2,best,validation,115.2,Top,time_30_100_s,30.0,100.0,False,True,1313,1.9819674906372406,1.7191725510817308,-0.6482196700364147,3.5852844238281247,4.199462890625,4.104859713034005,3.8495733954029414,3.8495733954029414,6.425268554687499,7.123291015625,-3.310546875,,顶部,观测最佳,"(30,100]秒"
2,best,validation,115.2,Top,time_100_200_s,100.0,200.0,False,True,0,,,,,,,,,,,,预登记时间窗内无观测，不外推真值,顶部,观测最佳,"(100,200]秒"
2,best,validation,403.0,Top,time_0_30_s,0.0,30.0,True,True,606,3.3472732792922906,2.818465985087278,2.3144918511016144,6.245964050292969,7.688690185546875,3.7879354573544837,2.7101231439672286,-2.0181204414997165,8.238555908203125,9.645721435546875,3.8272705078125,,顶部,观测最佳,"[0,30]秒"
2,best,validation,403.0,Top,time_30_100_s,30.0,100.0,False,True,1414,2.203489597594065,1.7872218843868113,-0.14901950390743604,4.111509704589843,6.962493896484375,5.815621296967058,4.879697309379967,-4.470467053886581,10.300357055664062,11.212432861328125,1.24200439453125,,顶部,观测最佳,"(30,100]秒"
2,best,validation,403.0,Top,time_100_200_s,100.0,200.0,False,True,404,2.2311432155757167,1.6843930840249204,0.8794960923446635,4.560511779785156,6.621368408203125,4.4170974851541285,3.7464195036858534,-3.4122487627954827,7.462428283691406,8.104034423828125,0.543212890625,,顶部,观测最佳,"(100,200]秒"
2,best,validation,630.5,Top,time_0_30_s,0.0,30.0,True,True,606,12.410043578690845,11.33582335168877,10.594604912351096,19.822898864746094,22.0064697265625,7.898425271949726,6.121177858963524,-1.7371613946578224,15.348777770996094,17.695037841796875,11.06170654296875,,顶部,观测最佳,"[0,30]秒"
2,best,validation,630.5,Top,time_30_100_s,30.0,100.0,False,True,1414,4.41209455544684,3.462891854348989,1.3944258369855567,8.670919799804686,14.788818359375,14.10320665970036,12.75545027751987,-11.387934881310176,21.96892395019531,23.359344482421875,3.33428955078125,,顶部,观测最佳,"(30,100]秒"
2,best,validation,630.5,Top,time_100_200_s,100.0,200.0,False,True,909,6.802221185435265,4.682965642251919,-1.6646500725913707,15.522131347656249,29.950927734375,16.259978045896723,14.809953655631123,-14.568624242128925,25.650891113281236,28.61700439453125,0.81866455078125,,顶部,观测最佳,"(100,200]秒"
2,best,validation,115.2,Hot,time_0_30_s,0.0,30.0,True,True,30,1.017728898007138,0.9682515462239585,-0.9682515462239585,1.4675125122070312,1.49151611328125,0.6876530475570055,0.6120503743489583,-0.6120503743489583,1.1113113403320312,1.13531494140625,-1.49151611328125,,热环,观测最佳,"[0,30]秒"
2,best,validation,115.2,Hot,time_30_100_s,30.0,100.0,False,True,70,1.850653969322654,1.8227630615234376,-1.8227630615234376,2.3524093627929688,2.39361572265625,1.5010858442756017,1.466561889648437,-1.466561889648437,1.9962081909179688,2.03741455078125,-1.892791748046875,,热环,观测最佳,"(30,100]秒"
2,best,validation,115.2,Hot,time_100_200_s,100.0,200.0,False,True,0,,,,,,,,,,,,预登记时间窗内无观测，不外推真值,热环,观测最佳,"(100,200]秒"
