方法,随机种子,LF来源,人为已吸收一维热流_W_m2,数值来源折,原锁最佳模型_SHA256,数值参考原档_SHA256,时刻_s,顶部网络入流_W_m2,顶部已知入流差_W_m2,底部网络外流_W_m2,底部固定温边界差_K,界面SiC热流_W_m2,界面Cu热流_W_m2,界面热流差_W_m2,界面温跳_K,界面Rc温跳约束差_K,网络储热率_W_m2,已知入流热预算差_W_m2,已知入流热预算差_W
F2,1,lf_same_physics_coarse,20000,train,b3a15f2748472367ef40e5d763b4df875c59e3d302f87bc3a65a293fb84ff25d,6688108f3e3b29c599f7cfe71e4d94abc32bb879eee6de62a4878370ba0e358e,10,17471.19140625,-2528.80859375,11031.1787109375,0.60467529296875,14620.8701171875,20482.783203125,-5861.9130859375,0.81585693359375,-0.6462299823760986,243.248291015625,-8725.5732421875,-24.670976638793945
F2,1,lf_same_physics_coarse,20000,train,b3a15f2748472367ef40e5d763b4df875c59e3d302f87bc3a65a293fb84ff25d,6688108f3e3b29c599f7cfe71e4d94abc32bb879eee6de62a4878370ba0e358e,50,17657.955078125,-2342.044921875,12630.736328125,0.68206787109375,16900.265625,19453.11328125,-2552.84765625,0.92486572265625,-0.7651607990264893,230.96685791015625,-7138.296875,-20.183059692382812
F2,1,lf_same_physics_coarse,20000,train,b3a15f2748472367ef40e5d763b4df875c59e3d302f87bc3a65a293fb84ff25d,6688108f3e3b29c599f7cfe71e4d94abc32bb879eee6de62a4878370ba0e358e,100,17085.953125,-2914.046875,15594.0908203125,0.74603271484375,19125.642578125,17908.294921875,1217.34765625,1.0579833984375,-0.8545807600021362,148.9791259765625,-4256.9296875,-12.036185264587402
F2,1,lf_same_physics_coarse,20000,train,b3a15f2748472367ef40e5d763b4df875c59e3d302f87bc3a65a293fb84ff25d,6688108f3e3b29c599f7cfe71e4d94abc32bb879eee6de62a4878370ba0e358e,200,16111.5966796875,-3888.4033203125,21165.849609375,0.74859619140625,17406.99609375,22479.23046875,-5072.234375,1.225830078125,-0.5148694515228271,-12.267730712890625,1153.58203125,3.26167631149292
F3,1,lf_same_physics_coarse,20000,train,0f6c7648d36cdbf3e30b8b27a7e8a336afdac139e625951871d9d19774557143,6688108f3e3b29c599f7cfe71e4d94abc32bb879eee6de62a4878370ba0e358e,1,19225.708984375,-774.291015625,8434.951171875,0.1639404296875,8683.0078125,12129.0751953125,-3446.0673828125,0.57891845703125,-0.28938227891921997,458.9938659667969,-11106.0546875,-31.401630401611328
F3,1,lf_same_physics_coarse,20000,train,0f6c7648d36cdbf3e30b8b27a7e8a336afdac139e625951871d9d19774557143,6688108f3e3b29c599f7cfe71e4d94abc32bb879eee6de62a4878370ba0e358e,2,19281.720703125,-718.279296875,8463.9716796875,0.16802978515625,8736.0947265625,12159.0478515625,-3422.953125,0.58502197265625,-0.28858745098114014,459.2703399658203,-11076.7578125,-31.31879425048828
F3,1,lf_same_physics_coarse,20000,train,0f6c7648d36cdbf3e30b8b27a7e8a336afdac139e625951871d9d19774557143,6688108f3e3b29c599f7cfe71e4d94abc32bb879eee6de62a4878370ba0e358e,5,19446.791015625,-553.208984375,8552.0732421875,0.18023681640625,8898.6005859375,12244.5576171875,-3345.95703125,0.60394287109375,-0.28591716289520264,463.19728088378906,-10984.7294921875,-31.058591842651367
F3,1,lf_same_physics_coarse,20000,train,0f6c7648d36cdbf3e30b8b27a7e8a336afdac139e625951871d9d19774557143,6688108f3e3b29c599f7cfe71e4d94abc32bb879eee6de62a4878370ba0e358e,10,19711.900390625,-288.099609375,8702.369140625,0.20050048828125,9179.970703125,12371.78515625,-3191.814453125,0.63623046875,-0.2817665934562683,467.65037536621094,-10829.98046875,-30.621047973632812
F3,1,lf_same_physics_coarse,20000,train,0f6c7648d36cdbf3e30b8b27a7e8a336afdac139e625951871d9d19774557143,6688108f3e3b29c599f7cfe71e4d94abc32bb879eee6de62a4878370ba0e358e,50,21396.92578125,1396.92578125,10028.634765625,0.34906005859375,11800.74609375,12596.736328125,-795.990234375,0.9248046875,-0.2552698850631714,475.03379821777344,-9496.3310546875,-26.850244522094727
F3,1,lf_same_physics_coarse,20000,train,0f6c7648d36cdbf3e30b8b27a7e8a336afdac139e625951871d9d19774557143,6688108f3e3b29c599f7cfe71e4d94abc32bb879eee6de62a4878370ba0e358e,100,22603.861328125,2603.861328125,11387.80078125,0.48699951171875,15150.6572265625,11030.666015625,4119.9912109375,1.33038330078125,-0.18468236923217773,403.6946258544922,-8208.5048828125,-23.209001541137695
F3,1,lf_same_physics_coarse,20000,train,0f6c7648d36cdbf3e30b8b27a7e8a336afdac139e625951871d9d19774557143,6688108f3e3b29c599f7cfe71e4d94abc32bb879eee6de62a4878370ba0e358e,200,21808.689453125,1808.689453125,12220.53515625,0.63970947265625,18455.576171875,10965.7001953125,7489.8759765625,2.0166015625,0.1710439920425415,215.8841094970703,-7563.5810546875,-21.385520935058594
F2,2,lf_same_physics_coarse,20000,train,e2b8de152b8b456d2913d910b61ab754b57164079b1be856e247bea52f9cd30e,6688108f3e3b29c599f7cfe71e4d94abc32bb879eee6de62a4878370ba0e358e,1,15346.751953125,-4653.248046875,19458.5859375,0.331787109375,8659.15234375,17565.5859375,-8906.43359375,1.34063720703125,0.4747219681739807,182.6719512939453,-358.7421875,-1.014319658279419
F2,2,lf_same_physics_coarse,20000,train,e2b8de152b8b456d2913d910b61ab754b57164079b1be856e247bea52f9cd30e,6688108f3e3b29c599f7cfe71e4d94abc32bb879eee6de62a4878370ba0e358e,2,15362.8583984375,-4637.1416015625,19495.62890625,0.32989501953125,8718.5068359375,17676.93359375,-8958.4267578125,1.34637451171875,0.4745238423347473,182.15626525878906,-322.21484375,-0.9110410213470459
