方法,随机种子,LF来源,人为已吸收一维热流_W_m2,数值来源折,原锁最佳模型_SHA256,数值参考原档_SHA256,非观测时窗,非探针内部厚度加权RMSE_K
F3,2,lf_contact_mismatch_coarse,20000,train,1d127b21115dd6a8aa55b0d33961c1f5ddbb2657fbc8de8e7e5316018588fb50,6688108f3e3b29c599f7cfe71e4d94abc32bb879eee6de62a4878370ba0e358e,"(100,200]",0.4818949800452669
F2,3,lf_contact_mismatch_coarse,20000,train,9580e9402e9033de437a9fef5736022ab0265523fd4433c75aeef63aae678ce1,6688108f3e3b29c599f7cfe71e4d94abc32bb879eee6de62a4878370ba0e358e,"[0,30]",1.2729983106894043
F2,3,lf_contact_mismatch_coarse,20000,train,9580e9402e9033de437a9fef5736022ab0265523fd4433c75aeef63aae678ce1,6688108f3e3b29c599f7cfe71e4d94abc32bb879eee6de62a4878370ba0e358e,"(30,100]",0.7718852700634831
F2,3,lf_contact_mismatch_coarse,20000,train,9580e9402e9033de437a9fef5736022ab0265523fd4433c75aeef63aae678ce1,6688108f3e3b29c599f7cfe71e4d94abc32bb879eee6de62a4878370ba0e358e,"(100,200]",0.27953530095040996
F3,3,lf_contact_mismatch_coarse,20000,train,9e9e147c794364ed1fe8c8e9e7fa7c556b23be00f84a2e74b91b092dad2a9f61,6688108f3e3b29c599f7cfe71e4d94abc32bb879eee6de62a4878370ba0e358e,"[0,30]",1.112065134055979
F3,3,lf_contact_mismatch_coarse,20000,train,9e9e147c794364ed1fe8c8e9e7fa7c556b23be00f84a2e74b91b092dad2a9f61,6688108f3e3b29c599f7cfe71e4d94abc32bb879eee6de62a4878370ba0e358e,"(30,100]",0.7161616487008026
F3,3,lf_contact_mismatch_coarse,20000,train,9e9e147c794364ed1fe8c8e9e7fa7c556b23be00f84a2e74b91b092dad2a9f61,6688108f3e3b29c599f7cfe71e4d94abc32bb879eee6de62a4878370ba0e358e,"(100,200]",0.1357040900937492
F2,4,lf_contact_mismatch_coarse,20000,train,516e74212b4ac9205a0e7cd4d31ba660ba7b7c9698f661e5694d6b00c0a02ae9,6688108f3e3b29c599f7cfe71e4d94abc32bb879eee6de62a4878370ba0e358e,"[0,30]",0.6830010345264592
F2,4,lf_contact_mismatch_coarse,20000,train,516e74212b4ac9205a0e7cd4d31ba660ba7b7c9698f661e5694d6b00c0a02ae9,6688108f3e3b29c599f7cfe71e4d94abc32bb879eee6de62a4878370ba0e358e,"(30,100]",0.4628990787755507
F2,4,lf_contact_mismatch_coarse,20000,train,516e74212b4ac9205a0e7cd4d31ba660ba7b7c9698f661e5694d6b00c0a02ae9,6688108f3e3b29c599f7cfe71e4d94abc32bb879eee6de62a4878370ba0e358e,"(100,200]",0.5025349413815828
