方法,随机种子,LF来源,人为已吸收一维热流_W_m2,数值来源折,原锁最佳模型_SHA256,数值参考原档_SHA256,双材料厚度加权RMSE_K,SiC厚度加权RMSE_K,Cu厚度加权RMSE_K,非探针附近内部RMSE_K,非探针附近真实单元数,七时七深细网格差_K,仅七时七深差若近模型全域RMSE须限缩结论,七时刻名义余额均值绝对差_W,七时刻名义余额最坏绝对差_W,真CUDA完整单元网络前向_秒
F2,0,lf_contact_mismatch_coarse,30000,validation,cb2e149fdb282417a9a4c24c8347ebcbae36bb470b5fef0ad55fe81e48ca34ef,ed97f8a0efb68f6a7427059ae762cf927700de32a10076263a7b2457dc5ab4d1,1.0931363454327072,1.3178623044969904,0.1131700863825911,1.154242955290804,240,0.05851997273936149,false,21.466174398149764,46.78196334838867,0.08454463302041404
F3,0,lf_contact_mismatch_coarse,30000,validation,97c3424f03a224c8d1c22779f0fd586745bc3992dd5fdeee8ee64120a86078c3,ed97f8a0efb68f6a7427059ae762cf927700de32a10076263a7b2457dc5ab4d1,1.1174255223003224,1.344766444614857,0.165383838002054,1.1800648404836618,240,0.05851997273936149,false,40.06148093087332,46.318992614746094,0.08539244599523954
F2,1,lf_contact_mismatch_coarse,30000,validation,217697d41127dec7ae2b31b369d4488e2c4de424e96fe2dec66512eb446ad92f,ed97f8a0efb68f6a7427059ae762cf927700de32a10076263a7b2457dc5ab4d1,1.1974149236750393,1.438616148346341,0.21580575137689792,1.261261051617451,240,0.05851997273936149,false,67.25890840802874,77.32424926757812,0.08464338298654184
F3,1,lf_contact_mismatch_coarse,30000,validation,cfcf416e44092f5c7ca961bedfc5f1178f3ca5aa28ac12c181cb23b6167f13fd,ed97f8a0efb68f6a7427059ae762cf927700de32a10076263a7b2457dc5ab4d1,1.1059997499819094,1.327023355744813,0.2234963825186608,1.162976097976392,240,0.05851997273936149,false,39.44176891871861,46.24037170410156,0.08587616300792433
F2,2,lf_contact_mismatch_coarse,30000,validation,704d134e5f08ed6b1e4a2ce32c40b16d568b0577b75458b0eda2d472b27d7470,ed97f8a0efb68f6a7427059ae762cf927700de32a10076263a7b2457dc5ab4d1,1.2482838951600204,1.5054274652370625,0.11519131434012085,1.3148154483900372,240,0.05851997273936149,false,41.60124479021345,59.5712776184082,0.08461090899072587
F3,2,lf_contact_mismatch_coarse,30000,validation,1d127b21115dd6a8aa55b0d33961c1f5ddbb2657fbc8de8e7e5316018588fb50,ed97f8a0efb68f6a7427059ae762cf927700de32a10076263a7b2457dc5ab4d1,1.044823665999253,1.2601499071057742,0.09366785372480468,1.0976289963999304,240,0.05851997273936149,false,38.35213552202497,50.85616683959961,0.08567314100218937
F2,3,lf_contact_mismatch_coarse,30000,validation,9580e9402e9033de437a9fef5736022ab0265523fd4433c75aeef63aae678ce1,ed97f8a0efb68f6a7427059ae762cf927700de32a10076263a7b2457dc5ab4d1,1.0968503527750353,1.3211367898149668,0.1408307674715439,1.1558056962545948,240,0.05851997273936149,false,69.04981885637555,79.62335205078125,0.0844760840118397
F3,3,lf_contact_mismatch_coarse,30000,validation,9e9e147c794364ed1fe8c8e9e7fa7c556b23be00f84a2e74b91b092dad2a9f61,ed97f8a0efb68f6a7427059ae762cf927700de32a10076263a7b2457dc5ab4d1,0.9347566009092083,1.126097930238848,0.11584842734427916,0.9830261462928056,240,0.05851997273936149,false,40.29897362845285,40.90467071533203,0.08565654800622724
F2,4,lf_contact_mismatch_coarse,30000,validation,516e74212b4ac9205a0e7cd4d31ba660ba7b7c9698f661e5694d6b00c0a02ae9,ed97f8a0efb68f6a7427059ae762cf927700de32a10076263a7b2457dc5ab4d1,0.7821325329400636,0.8251803607637539,0.6787992340053405,0.7899262776060676,240,0.05851997273936149,false,25.375323159354075,42.478816986083984,0.08462956399307586
F3,4,lf_contact_mismatch_coarse,30000,validation,e6d9e27e14673cfb4b2208f42140b7a2cb8fe0c6c7c136c79137365a82d8fa73,ed97f8a0efb68f6a7427059ae762cf927700de32a10076263a7b2457dc5ab4d1,0.7880036269048848,0.8781253305723222,0.5416088618776002,0.8109145705361336,240,0.05851997273936149,false,33.53192547389439,56.69987869262695,0.08527561798109673
F1,0,,35000,train,a3bf2b364b123e58ffb9c12da349111728524276e49792ffed9bd0e41368d93a,f025cb99cc26cd27d5cd96ce4c115a717bcccfc712ef2cdfb3dd4c7534d44e38,1.5204397133684466,1.8284711174031192,0.24706149718779902,1.6012478419243492,240,0.06827330152555078,false,58.097681862967356,71.48489379882812,0.04656126900226809
F1,1,,35000,train,05df18c3c0df99ee2c86a0e72267e0c9f047bb07d71e73a0c1b954903537d5d2,f025cb99cc26cd27d5cd96ce4c115a717bcccfc712ef2cdfb3dd4c7534d44e38,1.3976557471173423,1.6749279439548814,0.30766698971638134,1.473994910871931,240,0.06827330152555078,false,47.04176657540457,63.13829040527344,0.04685624499688856
F1,2,,35000,train,242662b7983255e93458d7c311590f3fc38d2b823c582ab7874dedcbb5fc0996,f025cb99cc26cd27d5cd96ce4c115a717bcccfc712ef2cdfb3dd4c7534d44e38,1.1526566783709788,1.3895421688974214,0.12126271153724517,1.2113273635513315,240,0.06827330152555078,false,45.06754684448242,64.0774917602539,0.046751142013818026
F1,3,,35000,train,119219a1d1a7bf472a7eb7dacbd4ee2291aed240cf2d2ca5daa70007d6bf9061,f025cb99cc26cd27d5cd96ce4c115a717bcccfc712ef2cdfb3dd4c7534d44e38,1.6678372878959473,2.0054540370686107,0.27544033940531865,1.7553929741502097,240,0.06827330152555078,false,53.33566556658064,58.53879928588867,0.04653197299921885
F1,4,,35000,train,67c75c2ab532cb71f353808bdde0c6cf23bade05a5f882fa968ad0a8aac53b5b,f025cb99cc26cd27d5cd96ce4c115a717bcccfc712ef2cdfb3dd4c7534d44e38,1.3982042858985844,1.68067340012958,0.23973830600089302,1.4711672277731502,240,0.06827330152555078,false,48.498830114092144,67.21704864501953,0.04651468200609088
F2,0,lf_same_physics_coarse,35000,train,ea2b67b4927a9fb48f08083a3b2f6399130134e71d168b16a20c44aa2f2968d5,f025cb99cc26cd27d5cd96ce4c115a717bcccfc712ef2cdfb3dd4c7534d44e38,0.9231351834994616,1.1046265190344438,0.22186316999669448,0.9745493639135617,240,0.06827330152555078,false,22.329934120178223,58.07122802734375,0.08532342599937692
F3,0,lf_same_physics_coarse,35000,train,15c1db6fc11320f8e99311cd503f06e06555fad65ed2372376d67e05bbe414f4,f025cb99cc26cd27d5cd96ce4c115a717bcccfc712ef2cdfb3dd4c7534d44e38,1.0696336460779796,1.2797631972484362,0.25884579544508224,1.1296219969206447,240,0.06827330152555078,false,33.58992140633719,61.79887008666992,0.08460031400318258
F2,1,lf_same_physics_coarse,35000,train,b3a15f2748472367ef40e5d763b4df875c59e3d302f87bc3a65a293fb84ff25d,f025cb99cc26cd27d5cd96ce4c115a717bcccfc712ef2cdfb3dd4c7534d44e38,0.9368053896564352,1.0041870105506754,0.7695780769249307,0.9511888929802865,240,0.06827330152555078,false,63.17926761082241,76.80309295654297,0.08543842099606991
F3,1,lf_same_physics_coarse,35000,train,0f6c7648d36cdbf3e30b8b27a7e8a336afdac139e625951871d9d19774557143,f025cb99cc26cd27d5cd96ce4c115a717bcccfc712ef2cdfb3dd4c7534d44e38,1.2691070817296741,1.498834205597605,0.47252244299837126,1.3282779749302722,240,0.06827330152555078,false,45.09516470772879,51.58174514770508,0.08474379498511553
F2,2,lf_same_physics_coarse,35000,train,e2b8de152b8b456d2913d910b61ab754b57164079b1be856e247bea52f9cd30e,f025cb99cc26cd27d5cd96ce4c115a717bcccfc712ef2cdfb3dd4c7534d44e38,0.9812898092433541,1.1835827213541366,0.08618465453817054,1.0311668074515254,240,0.06827330152555078,false,35.45894840785435,46.063880920410156,0.08468983200145885
F3,2,lf_same_physics_coarse,35000,train,fd40721521f91baa74515915f6a3ec5d8c69e2b744a24a1713ca30806e8b0808,f025cb99cc26cd27d5cd96ce4c115a717bcccfc712ef2cdfb3dd4c7534d44e38,1.2585484303874122,1.5164567535236062,0.14974501348356747,1.3232869446260094,240,0.06827330152555078,false,40.24326665060861,58.19794464111328,0.08463136301725172
F2,3,lf_same_physics_coarse,35000,train,0cfc46947a911aa69a35f17a271d2e8fa7d4e34bd443862e009425bf6f2370b3,f025cb99cc26cd27d5cd96ce4c115a717bcccfc712ef2cdfb3dd4c7534d44e38,1.719470492600066,2.0661473589739305,0.3052717576792213,1.8179240452591505,240,0.06827330152555078,false,21.854308945792063,25.555105209350586,0.0852618409844581
F3,3,lf_same_physics_coarse,35000,train,40dc114e0761003675a86ae395f0e6078d6c3c481583c2b7a80b5bc4da8628c5,f025cb99cc26cd27d5cd96ce4c115a717bcccfc712ef2cdfb3dd4c7534d44e38,1.1487805149820607,1.381567506157939,0.18583788838918894,1.2071300147919761,240,0.06827330152555078,false,50.97517721993582,52.70886993408203,0.0849411659874022
F2,4,lf_same_physics_coarse,35000,train,f4f0b6a755c80696b456641b9908003bed22b5cb3fac30f1366a63523a5f41aa,f025cb99cc26cd27d5cd96ce4c115a717bcccfc712ef2cdfb3dd4c7534d44e38,0.6605288792055078,0.7036779940035511,0.5548577825467997,0.6695658059124566,240,0.06827330152555078,false,34.52385820661272,66.96646881103516,0.08624871799838729
F3,4,lf_same_physics_coarse,35000,train,ebe76fffb4c4d5dbd95c1dd0a53cac1646dc50cca0f85b39be73fb93750d185d,f025cb99cc26cd27d5cd96ce4c115a717bcccfc712ef2cdfb3dd4c7534d44e38,0.7254590962787852,0.8057522485934019,0.5079818399006505,0.7455723346648738,240,0.06827330152555078,false,54.317404065813335,88.0206069946289,0.08479501100373454
F2,0,lf_contact_mismatch_coarse,35000,train,cb2e149fdb282417a9a4c24c8347ebcbae36bb470b5fef0ad55fe81e48ca34ef,f025cb99cc26cd27d5cd96ce4c115a717bcccfc712ef2cdfb3dd4c7534d44e38,1.33751090282475,1.611599115659843,0.15917357616297537,1.4149997036570534,240,0.06827330152555078,false,19.396866389683314,50.22806167602539,0.08499243500409648
F3,0,lf_contact_mismatch_coarse,35000,train,97c3424f03a224c8d1c22779f0fd586745bc3992dd5fdeee8ee64120a86078c3,f025cb99cc26cd27d5cd96ce4c115a717bcccfc712ef2cdfb3dd4c7534d44e38,1.3141829679147243,1.5803662034438621,0.2145427426790504,1.3877162891334176,240,0.06827330152555078,false,46.319375719342915,53.642066955566406,0.08467845999985002
F2,1,lf_contact_mismatch_coarse,35000,train,217697d41127dec7ae2b31b369d4488e2c4de424e96fe2dec66512eb446ad92f,f025cb99cc26cd27d5cd96ce4c115a717bcccfc712ef2cdfb3dd4c7534d44e38,1.4206866505271047,1.7090105683433343,0.22260005298667254,1.4975422665678682,240,0.06827330152555078,false,78.32164818899972,90.42453002929688,0.08490837301360443
F3,1,lf_contact_mismatch_coarse,35000,train,cfcf416e44092f5c7ca961bedfc5f1178f3ca5aa28ac12c181cb23b6167f13fd,f025cb99cc26cd27d5cd96ce4c115a717bcccfc712ef2cdfb3dd4c7534d44e38,1.3026230281786142,1.5660036003931312,0.2199425006018173,1.3709617440981772,240,0.06827330152555078,false,45.46139580862863,53.628395080566406,0.0846893790003378
F2,2,lf_contact_mismatch_coarse,35000,train,704d134e5f08ed6b1e4a2ce32c40b16d568b0577b75458b0eda2d472b27d7470,f025cb99cc26cd27d5cd96ce4c115a717bcccfc712ef2cdfb3dd4c7534d44e38,1.4418475043261252,1.7396532622337855,0.10825246307758421,1.5191494916225259,240,0.06827330152555078,false,48.789761134556365,67.65538787841797,0.0846675639913883
F3,2,lf_contact_mismatch_coarse,35000,train,1d127b21115dd6a8aa55b0d33961c1f5ddbb2657fbc8de8e7e5316018588fb50,f025cb99cc26cd27d5cd96ce4c115a717bcccfc712ef2cdfb3dd4c7534d44e38,1.2132097564711417,1.4623240095269652,0.13291513004728783,1.2744845526334867,240,0.06827330152555078,false,44.150263105119976,59.390262603759766,0.08464493099018
