HF优化步,训练热流_W_m2,物理配点时刻_s,HF三探针消费点数,实际训练目标,HF可见探针目标,累计体内PDE计算次数,合法两档探针验证RMSE_K
346,20000,20.0,42,0.0039820862002670765,0.0006972423871047795,346,
347,35000,20.0,42,0.008762137033045292,0.0022176040802150965,347,
348,50000,20.0,42,0.018714293837547302,0.004649221431463957,348,
349,65000,20.0,42,0.02959640696644783,0.00793736893683672,349,
350,80000,20.0,42,0.04264427348971367,0.01250129658728838,350,
351,20000,30.0,42,0.005428594537079334,0.0007036739261820912,351,
352,35000,30.0,42,0.008234841749072075,0.0023176660761237144,352,
353,50000,30.0,42,0.01740911602973938,0.004951433278620243,353,
354,65000,30.0,42,0.02839881367981434,0.008513003587722778,354,
355,80000,30.0,42,0.04174027219414711,0.013392642140388489,355,
356,20000,50.0,42,0.006085631437599659,0.0007371665560640395,356,
357,35000,50.0,42,0.007905458100140095,0.0024812493938952684,357,
358,50000,50.0,42,0.017368974164128304,0.00529502471908927,358,
359,65000,50.0,42,0.028509818017482758,0.009034792892634869,359,
360,80000,50.0,42,0.04087723419070244,0.014080219902098179,360,1.9731433391571045
361,20000,75.0,42,0.0064940196461975574,0.0007769787334837019,361,
362,35000,75.0,42,0.007748565170913935,0.002608631271868944,362,
363,50000,75.0,42,0.01618843711912632,0.005501838866621256,363,
364,65000,75.0,42,0.02687211148440838,0.009299354627728462,364,
365,80000,75.0,42,0.04002736881375313,0.01442036498337984,365,
366,20000,100.0,42,0.006226217374205589,0.0008237486472353339,366,
367,35000,100.0,42,0.0076689692214131355,0.002735373331233859,367,
368,50000,100.0,42,0.015351835638284683,0.005713989492505789,368,
369,65000,100.0,42,0.025868823751807213,0.009609920904040337,369,
370,80000,100.0,42,0.039504505693912506,0.014887015335261822,370,
371,20000,125.0,42,0.004443625919520855,0.000905577267985791,371,
372,35000,125.0,42,0.007175682112574577,0.002956604352220893,372,
373,50000,125.0,42,0.015427790582180023,0.0061073340475559235,373,
374,65000,125.0,42,0.025647740811109543,0.010193021968007088,374,
375,80000,125.0,42,0.03848020359873772,0.015693388879299164,375,
376,20000,150.0,42,0.003210903611034155,0.0010275585809722543,376,
377,35000,150.0,42,0.00720672681927681,0.003250929992645979,377,
378,50000,150.0,42,0.015449214726686478,0.006593721453100443,378,
379,65000,150.0,42,0.025217652320861816,0.010864939540624619,379,
380,80000,150.0,42,0.03885186091065407,0.01656523160636425,380,2.191419839859009
381,20000,175.0,42,0.00320230214856565,0.0011612421367317438,381,
382,35000,175.0,42,0.007484208792448044,0.0035565318539738655,382,
383,50000,175.0,42,0.015386086888611317,0.007102648727595806,383,
384,65000,175.0,42,0.025531422346830368,0.011588174849748611,384,
385,80000,175.0,42,0.04040637984871864,0.017532771453261375,385,
386,20000,200.0,42,0.003650229424238205,0.0013097041519358754,386,
387,35000,200.0,42,0.008336671628057957,0.0038941691163927317,387,
388,50000,200.0,42,0.016705621033906937,0.007669299375265837,388,
389,65000,200.0,42,0.027245325967669487,0.012380903586745262,389,
390,80000,200.0,42,0.04224034398794174,0.01852361671626568,390,
391,20000,1.0,42,0.0035149715840816498,0.0014566610334441066,391,
392,35000,1.0,42,0.011496536433696747,0.004140619654208422,392,
393,50000,1.0,42,0.026346644386649132,0.007928820326924324,393,
394,65000,1.0,42,0.05086284503340721,0.012504111044108868,394,
395,80000,1.0,42,0.08439373970031738,0.018272751942276955,395,
396,20000,2.0,42,0.004555903375148773,0.0013699769042432308,396,
397,35000,2.0,42,0.011363817378878593,0.0037451493553817272,397,
398,50000,2.0,42,0.021714551374316216,0.00695514352992177,398,
399,65000,2.0,42,0.03246902674436569,0.010708212852478027,399,
400,80000,2.0,42,0.04554630443453789,0.015403308905661106,400,2.0337929725646973
401,20000,5.0,42,0.008433399721980095,0.0009796987287700176,401,
402,35000,5.0,42,0.017947793006896973,0.002767830155789852,402,
403,50000,5.0,42,0.027612261474132538,0.005238975863903761,403,
404,65000,5.0,42,0.033203259110450745,0.008302683010697365,404,
405,80000,5.0,42,0.042188629508018494,0.012428068555891514,405,
406,20000,10.0,42,0.003219864796847105,0.0007208706228993833,406,
407,35000,10.0,42,0.008910364471375942,0.0021988919470459223,407,
408,50000,10.0,42,0.01765803061425686,0.004444930236786604,408,
409,65000,10.0,42,0.03053290769457817,0.0074508944526314735,409,
410,80000,10.0,42,0.05040910467505455,0.011656527407467365,410,
411,20000,20.0,42,0.004507885780185461,0.0006743110716342926,411,
412,35000,20.0,42,0.00869495328515768,0.002144991420209408,412,
413,50000,20.0,42,0.01680714450776577,0.00454570772126317,413,
414,65000,20.0,42,0.027667026966810226,0.00787996407598257,414,
415,80000,20.0,42,0.04084276035428047,0.012560107745230198,415,
416,20000,30.0,42,0.004684415180236101,0.0006998609169386327,416,
417,35000,30.0,42,0.007839374244213104,0.0023459354415535927,417,
418,50000,30.0,42,0.01779968850314617,0.005068791098892689,418,
419,65000,30.0,42,0.03005417436361313,0.008796201087534428,419,
